title,genres,rating,scored_by,members,weighted_avg,norm_weighted_avg,norm_members,score
Hataraku Saibou Specials,"['Comedy', 'Parody', 'Shounen']",6.92,161,6982,6.940175515556429,0.504738776801356,0.004122817357329909,0.25443079707934296
Soukou Kihei Votoms The Last Red Shoulder,"['Action', 'Drama', 'Mecha', 'Military', 'SciFi']",7.26,1164,2333,6.95460975106726,0.5079389392274862,0.0009181730011642599,0.25442855611432524
30th Gundam Perfect Mission,"['Mecha', 'SciFi']",7.02,2397,4662,6.9473165526223175,0.5063219904384559,0.002523597115061829,0.25442279377675886
"Momoko, Kaeru no Uta ga Kikoeru yo.","['Drama', 'School', 'SliceofLife']",7.63,592,1736,6.956353047284491,0.5083254391600813,0.0005066495164082064,0.2544160443382448
Ojamajo Doremi Sharp Movie,"['Kids', 'Magic', 'Shoujo']",7.24,1132,2664,6.953362358884093,0.5076623843942065,0.0011463376133154387,0.25440436100376096
Bakuman. 2nd Season Special,['Comedy'],6.88,3744,9400,6.9324105372642535,0.503017231399683,0.005789590868452417,0.2544034111340677
Tomie,"['Drama', 'Horror', 'Josei', 'Supernatural']",6.94,18,6853,6.940305996964884,0.5047677053650015,0.004033895197307244,0.25440080028115436
Marginal4 Kiss kara Tsukuru Big Bang,"['Music', 'Comedy', 'School']",6.83,2685,10306,6.92955086957701,0.5023832247647582,0.0064141139458209,0.25439866935528954
Gundam Build Fighters Try Island Wars,"['Action', 'SciFi', 'Mecha']",6.96,3344,6092,6.942641852650926,0.5052855795256193,0.003509323385080516,0.25439745145534987
Pokemon Pikachu to Eievui Friends,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",7.0,2318,5200,6.945398937281141,0.5058968428400259,0.002894450774691237,0.25439564680735854
Dotto Konichan,['Comedy'],7.42,846,1756,6.956098022652017,0.5082688985662986,0.0005204358978070692,0.25439466723205284
El Hazard 2 The Magnificent World,"['Adventure', 'Comedy', 'Fantasy']",6.95,3232,6469,6.941421803210205,0.5050150867533982,0.003769196674449079,0.25439214171392366
Hotori Tada Saiwai wo Koinegau,"['Drama', 'SciFi']",7.08,1481,4300,6.948162707370015,0.5065095883634199,0.0022740636117424126,0.25439182598758114
"Donten ni Warau Gaiden Ketsubetsu, Yamainu no Chikai","['Action', 'Historical', 'Supernatural', 'Shoujo']",6.81,53,6915,6.940028917885263,0.5047062751590854,0.004076632979643719,0.25439145406936453
El Hazard The Alternative World,"['Adventure', 'Comedy', 'Fantasy']",6.91,3731,8092,6.936350310871982,0.5038907044324219,0.004887961524966792,0.25438933297869437
Vandread Gekitouhen,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Mecha', 'SciFi', 'Space']",6.98,2228,5769,6.9435719900782145,0.5054917969483372,0.0032866733254888827,0.2543892351369131
Future GPX Cyber Formula Zero,"['Drama', 'SciFi', 'Shounen', 'Sports']",7.62,633,1387,6.957188415461368,0.5085106456332347,0.00026607716099805124,0.25438836139711635
Hello Sandybell,"['Adventure', 'Romance', 'Shoujo']",7.11,1716,3290,6.951266484207288,0.5071977155597844,0.001577851351099843,0.25438778345544216
Lupin III Sweet Lost Night  Mahou no Lamp wa Akumu no Yokan,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",7.19,1249,2961,6.952254616864974,0.5074167908963887,0.0013510653770885505,0.2543839281367386
"Solty Rei Surechigau Kimochi de, Omoi Au Kokoro de.","['Comedy', 'Drama']",7.16,1409,3007,6.952093514603905,0.5073810734936726,0.0013827740543059348,0.25438192377398927
Shingeki no Kyojin Picture Drama,"['Parody', 'Comedy']",6.73,15511,32787,6.859488549116921,0.4868499597535543,0.021910695957212588,0.25438032785538345
Tokyo Ravens Kon ga Oshiete Moshi Agemasu Maru Wakari Tokyo Ravens,"['Shounen', 'Supernatural']",6.89,2089,8033,6.936405512958444,0.503902943088415,0.004847291699840147,0.25437511739412755
Fushigiboshi noFutagohime Gyu,"['Magic', 'Comedy', 'Shoujo']",7.27,901,3055,6.951840866599725,0.507325059813599,0.0014158613696632057,0.2543704605916311
Metal Fight Beyblade 4D,"['Adventure', 'Sports']",6.88,5856,10453,6.9288059282444445,0.5022180665019351,0.006515443849102541,0.2543667551755188
Gintama x Mameshiba,"['Comedy', 'Parody']",6.92,2642,7361,6.938354933248324,0.5043351420475999,0.004384069284838359,0.2543596056662191
"Kamen no Maid Guy Ano Natsu, Ichiban Yutaka na Chichi.","['Action', 'Comedy', 'Ecchi']",6.92,4106,7648,6.937426988062658,0.5041294106588852,0.004581903857912039,0.2543556572583986
Crayon Shinchan Movie 08 Arashi wo Yobu Jungle,"['Action', 'Adventure', 'Comedy', 'Seinen']",7.25,1174,2227,6.954276006705399,0.5078649459657054,0.0008451051797502872,0.2543550255727279
Otsukimi Recital,"['Music', 'Psychological']",7.32,914,2381,6.953775031076218,0.5077538764612823,0.0009512603165215306,0.2543525683889019
Koukyoushihen Eureka Seven HiEvolution 1,"['Adventure', 'Mecha', 'Drama', 'SciFi']",6.22,397,10353,6.928980649118231,0.5022568032382821,0.006446511942108228,0.2543516575901952
Kogepan,['Comedy'],7.0,2582,4889,6.945924364687728,0.5060133334600492,0.002680072543938921,0.254346703001994
Urusei Yatsura Movie 3 Remember My Love,"['Action', 'SciFi', 'Adventure', 'Comedy', 'Drama', 'Romance']",7.09,1629,3724,6.949514682329957,0.5068093298678888,0.001877015827455165,0.254343172847672
Fatekaleid liner PrismaIllya 3rei Specials,"['Comedy', 'Magic', 'Ecchi']",6.86,2731,9230,6.932355136667104,0.5030049487325996,0.005672406626562083,0.25433867767958085
Meiji Tokyo Renka Movie 1 Yumihari no Serenade,"['Harem', 'Romance', 'Fantasy', 'Shoujo']",6.61,134,7221,6.938534799437932,0.5043750195334065,0.004287564615046319,0.2543312920742264
Aikatsu Stars Movie,"['Music', 'School', 'Shoujo', 'SliceofLife']",7.43,705,2302,6.953814510420393,0.5077626292846473,0.0008968041099960227,0.2543297166973217
Wei Kreuz,"['Action', 'Drama', 'Shounen']",6.81,5600,14326,6.916343587843113,0.49945508584639176,0.009185176606992316,0.25432013122669206
Overlord Movie Manner Movie,['Comedy'],6.86,1067,7656,6.937000301155748,0.5040348114398139,0.004587418410471584,0.25431111492514274
Rocket Girls,"['SciFi', 'Adventure', 'Space']",6.98,1992,5641,6.943251734293295,0.505420794190423,0.0031984404845361606,0.2543096173374796
Crayon Shinchan Movie 04 Henderland no Daibouken,"['SliceofLife', 'Comedy', 'Ecchi', 'School', 'Seinen']",7.25,1140,2190,6.953889174664555,0.5077791828256066,0.0008196003741623911,0.2542993915998845
Ninja Senshi Tobikage,"['Adventure', 'Mecha', 'SciFi', 'Shounen', 'Space']",7.29,918,2551,6.9527631995761014,0.5075295469395824,0.001068444558411864,0.2542989957489971
Taiho Shichau zo Special,"['Action', 'Comedy', 'Police', 'Shounen']",7.13,1329,3455,6.949935381331492,0.5069026015300016,0.0016915889976404609,0.254297095263821
Danball Senki Wars,"['Action', 'Kids', 'Mecha']",7.34,815,2467,6.952997530144155,0.507581499526792,0.0010105417565366404,0.2542960206416643
To Heart 2 OVA,"['Comedy', 'Drama', 'Harem', 'Romance', 'School']",6.99,2110,5253,6.944195140074476,0.505629953292148,0.0029309846853982227,0.2542804689887731
Kaitou Joker 3rd Season,"['Adventure', 'Comedy', 'Mystery', 'Shounen']",7.26,951,2669,6.952088818662649,0.507380032373431,0.0011497842086651542,0.2542649082910481
Ore no Imouto ga Konnani Kawaii Wake ga Nai. SD Chara ni Yoru Short Movie,['Comedy'],6.89,2177,7755,6.936254428755422,0.5038694467533074,0.004655660998395955,0.25426255387585167
Tetsujin 28gou 2004,"['SciFi', 'Adventure', 'Historical', 'Drama', 'Mecha', 'Shounen']",7.55,517,2452,6.9527311939562955,0.5075224510887595,0.0010002019704874934,0.25426132652962347
Akkun to Kanojo,"['Comedy', 'Romance', 'School', 'Josei']",6.51,3866,25073,6.882379055989444,0.4919249316807863,0.01659328865167122,0.25425911016622876
Arad Senki Slap Up Party,"['Action', 'Adventure', 'Comedy', 'Fantasy']",6.82,4314,12161,6.922511612953215,0.500822576503307,0.007692800820565421,0.2542576886619362
Koutetsushin Jeeg,"['Mecha', 'SciFi']",7.05,1611,4279,6.946984045985219,0.5062482715881793,0.0022595879112736065,0.25425392974972644
Teekyuu 4,"['Comedy', 'Shounen', 'Sports']",6.84,7750,14088,6.9164620242105155,0.4994813439473187,0.009021118668345849,0.2542512313078323
Heart Realize,['Music'],7.06,1795,3813,6.94836899207857,0.5065553230040185,0.0019383652246801042,0.2542468441143493
Kiddy Grade Ignition,"['Action', 'Mecha', 'SciFi', 'SuperPower']",7.13,1092,3827,6.948290492893057,0.5065379192320092,0.0019480156916593082,0.2542429674618342
Mobile Suit Gundam Thunderbolt Bandit Flower,"['Action', 'Military', 'SciFi', 'Space', 'Drama', 'Mecha']",7.33,664,3129,6.95044709657849,0.5070160520764535,0.0014668709808389978,0.25424146152864624
HappyLesson The Final,"['Comedy', 'Harem', 'Romance', 'School']",6.92,3334,7161,6.937904300888947,0.5042352339684089,0.004246205470849731,0.2542407197196293
Mama wa Shougaku 4 Nensei,"['Comedy', 'Drama', 'SciFi']",7.27,913,2573,6.951989047463869,0.5073579124598888,0.001083609577950613,0.2542207610189197
Otogi Juushi Akazukin,"['Adventure', 'Comedy', 'Fantasy']",7.06,1052,4750,6.945167123698707,0.5058454482846428,0.002584257193216825,0.25421485273892985
Ie Naki Ko Remy Specials,"['Adventure', 'Drama']",7.71,529,1149,6.9563483289094314,0.5083243930661219,0.00010201922235158437,0.2542132061442367
Uchuu Densetsu Ulysses 31,"['Action', 'Adventure', 'SciFi', 'Space']",7.15,1303,2940,6.9507527453705595,0.5070838163705336,0.0013365896766197448,0.25421020302357666
Ookiku Furikabutte Natsu no Scorebook,"['Comedy', 'Sports']",7.38,675,2557,6.951932769975401,0.5073454353803861,0.001072580472831523,0.25420900792660883
Trick or Alice,['Fantasy'],7.03,70,6203,6.940558145176431,0.5048236082378486,0.0035858378018442045,0.25420472301984637
Okusama ga Seitokaichou OVA Okusama Gekijou,"['Comedy', 'Shounen']",6.97,1606,5694,6.942108616826393,0.505167357729345,0.003234974395243147,0.25420116606229404
Hakuouki Reimeiroku Tokuten Disc,"['Action', 'Supernatural', 'Josei']",7.35,651,2902,6.950764147468399,0.5070863442886249,0.0013103955519619054,0.2541983699202934
Anyamal Tantei Kiruminzoo,"['Magic', 'Comedy', 'Shoujo']",7.09,832,4703,6.945155317499321,0.5058428307746512,0.002551859196929497,0.25419734498579033
Inazuma Eleven Chou Jigen Dream Match,"['Sports', 'SuperPower', 'Shounen']",7.04,1951,3924,6.947562910612019,0.5063766095820488,0.002014879641443793,0.25419574461174627
Doraemon 2112nen Doraemon Tanjou,"['Kids', 'Fantasy', 'Comedy']",7.36,867,1707,6.954454190088185,0.5079044503624657,0.00048665926337985543,0.2541955548129228
Tennis no Oujisama The Band of Princes Film Kick the Future,"['Action', 'Music']",7.03,1896,4211,6.946664007511386,0.5061773170095245,0.0022127142145174734,0.254195015612021
Future GPX Cyber Formula Sin,"['Drama', 'SciFi', 'Shounen', 'Sports']",7.64,554,1342,6.955563531961334,0.5081503985581648,0.00023505780285061,0.2541927281805077
